Entity,Year,"Age-standardized deaths from cardiovascular diseases in both sexes in those aged all ages per 100,000 people"
Australia,1950,493.1095
Australia,1951,512.7595
Australia,1952,516.4505
Australia,1953,497.5593
Australia,1954,501.36963
Australia,1955,492.46622
Australia,1956,510.82028
Australia,1957,481.73795
Australia,1958,475.19052
Australia,1959,491.94928
Australia,1960,488.99515
Australia,1961,475.46445
Australia,1962,490.12225
Australia,1963,490.15717
Australia,1964,507.4913
Australia,1965,496.11572
Australia,1966,504.06555
Australia,1967,482.58133
Australia,1968,514.8331
Australia,1969,484.68463
Australia,1970,497.55493
Australia,1971,483.0408
Australia,1972,467.93164
Australia,1973,461.77042
Australia,1974,473.06018
Australia,1975,416.84753
Australia,1976,416.36823
Australia,1977,391.42667
Australia,1978,375.40555
Australia,1979,355.9882
Australia,1980,346.9838
Australia,1981,333.85736
Australia,1982,331.64572
Australia,1983,308.6825
Australia,1984,305.52094
Australia,1985,301.09277
Australia,1986,276.90015
Australia,1987,272.0751
Australia,1988,257.7469
Australia,1989,261.9465
Australia,1990,239.63553
Australia,1991,227.42978
Australia,1992,226.56128
Australia,1993,212.17006
Australia,1994,212.78877
Australia,1995,197.34866
Australia,1996,193.15578
Australia,1997,181.99896
Australia,1998,173.76103
Australia,1999,165.07251
Australia,2000,154.0971
Australia,2001,147.2651
Australia,2002,142.63034
Australia,2003,134.5257
Australia,2004,129.08118
Australia,2006,119.39977
Australia,2007,113.90773
Australia,2008,113.730995
Australia,2009,104.66892
Australia,2010,99.70675
Australia,2011,97.5968
Australia,2012,91.154
Australia,2013,87.79595
Australia,2014,88.21639
Australia,2015,86.83922
Australia,2016,82.068214
Australia,2017,79.26224
Australia,2018,75.062035
Australia,2019,76.41658
Australia,2020,69.3306
Australia,2021,70.66705
Australia,2022,72.59429
Australia,2023,66.80804
Brazil,1979,292.7915
Brazil,1980,305.28775
Brazil,1981,304.42712
Brazil,1982,297.45218
Brazil,1983,284.72266
Brazil,1984,289.9095
Brazil,1985,291.1925
Brazil,1986,281.62222
Brazil,1987,295.44678
Brazil,1988,308.14194
Brazil,1989,293.09818
Brazil,1990,289.1401
Brazil,1991,267.75134
Brazil,1992,265.9614
Brazil,1993,270.92206
Brazil,1994,263.10516
Brazil,1995,254.93999
Brazil,1996,250.42896
Brazil,1997,240.73041
Brazil,1998,238.21744
Brazil,1999,231.41632
Brazil,2000,227.87212
Brazil,2001,220.64336
Brazil,2002,215.6903
Brazil,2003,212.65184
Brazil,2004,213.84517
Brazil,2005,205.85777
Brazil,2006,209.98775
Brazil,2007,204.98192
Brazil,2008,202.27617
Brazil,2009,196.8723
Brazil,2010,193.46474
Brazil,2011,189.59349
Brazil,2012,180.5036
Brazil,2013,176.5317
Brazil,2014,170.17558
Brazil,2015,168.29199
